site,month,day,dist,date,time,no,no3,no2,nh3,tn,tp,op,alk,toc,cond,temp,sali,do,ph1,ph2,turb,vel,depth,width,chla,cfpom,sed,canop,graz,ind,fore,rec,road,tra,un,res,wat, treat,graz1000,ind1000,for1000,rec1000,road1000,tra1000,un1000,res1000,graz500,ind500,for500,road500,tra500,un500,res500,graz300,ind300,for300,road300,tra300,un300,res300,graz100,ind100,for100,road100,tra100,un100,res100,graz60,ind60,road60,tra60,un60,res60,veg30m,veg60m,veg90m,airtemp,rain1,rain2,rain3,dflowm,dflow3m,dayflow,weekflow,rflow,rflow3,solar
up1,Feb,1,0,25-02-14,1,1,0.01,0.01,0.1,0.1,0.014,0.01,19,1,46,21.327,0.051,8.023,7.3,6.99,18.2,0.22,12.17,21,0.872,0.645,39.739,15.34,32.31,0.01,52.75,0.02,1.37,1.11,3.34,9.09,0,0,37.04,0,10.26,0,2.04,7.07,7.29,36,14.63,0,7.42,0,14.73,0,63.23,11.62,0,6.58,0,35.61,0,46.18,10.7,0,0,0,89.3,0,0,4.7,0,0,95.3,0,0,39.52,2125.95,6330.91,34.4,0,0.835714286,0.484444444,13.3,32.5,90.9792,749.952,3240,8048.16,15
up2,Feb,1,8.7,25-02-14,1,2,0.01,0.01,0.09,0.1,0.021,0.01,20,2,51,22.487,0.052333333,8.307,7.1,6.88,34.4,0.25,22.17,26,1.408,3.633,55.176,0,39.49,0.16,49.28,0.01,1.6,0.41,3.47,5.56,0.03,0.03,13.32,5,19,1,10,0,9.72,42,1.25,5.72,28,12.28,0,5.95,46.8,0,9.05,23.1,24.73,0,2.73,40.39,0,0,5.9,63.53,0,0,30.57,0,0,52,0,0,48.34,1003.3,5593.24,12704.91,34.4,0,0.835714286,0.484444444,13.3,32.5,90.9792,749.952,3240,8048.16,15
up3,Feb,1,10.4,25-02-14,1,3,0.04,0.01,0.09,0.2,0.012,0.01,19,2,48,21.78,0.049,8.137,7.2,6.88,16.7,0.55,23,22.67,2.49,1.036,52.595,2.34,40.11,0.13,48.98,0.01,1.44,0.32,3.52,5.4,0.06,0.03,35.25,1.85,20.85,0,5.61,0,10.45,26,55.98,7.78,23.81,2.2,0,7.3,2.94,34.31,20.16,38.26,0.53,0,6.74,0,0,68.11,0.35,0,0,31.53,0,0,42.8,0,0,57.2,0,1935.16,6899.55,18964.43,34.4,0,0.835714286,0.484444444,13.3,32.5,283.392,2153.088,8994.24,15158.016,15
up4,Feb,1,10.77,25-02-14,1,4,0.04,0.01,0.09,0.2,0.013,0.01,19,2,48,21.67,0.049,8.193,7.2,6.89,16.27,0.95,31.33,37.33,2.318,0.652,25.076,6.24,40.06,0.13,48.98,0.01,1.45,0.32,3.55,5.41,0.06,0.03,35.23,1.9,26.8,0,6.29,0,14.62,15,30.29,8.07,30.38,2.75,0,27.02,1.49,0,15.5,31.5,0.81,0,52.18,0,0,0,0.05,0,0,99.95,0,0,0,0,0,100,0,2095.76,6407.58,12072.82,34.4,0,0.835714286,0.484444444,13.3,32.5,283.392,2153.088,8994.24,15158.016,15
ds1,Feb,1,11.03,25-02-14,1,5,0.04,0.01,0.09,0.2,0.013,0.01,19,2,48,21.513,0.05,8.22,7.2,7.07,20.23,0.55,39.67,22.67,2.493,0.445,42.337,0.52,40.05,0.13,48.97,0.01,1.45,0.32,3.55,5.43,0.06,0.03,28.48,1.94,30.35,0,7.8,0,15.98,15,9.25,8.07,30.59,4.4,0,36.26,11.42,0,0,25.11,0,0,54.8,20.09,0,0,0,0,0,8.33,91.67,0,0,0,0,0,100,1443.84,4685.49,7313.79,34.4,0,0.835714286,0.484444444,13.3,32.5,283.392,2153.088,8994.24,15158.016,15
ds2,Feb,1,11.53,25-02-14,1,6,0.05,0.01,0.09,0.2,0.014,0.01,19,2,49,21.577,0.049666667,8.397,7.2,6.85,17.33,0.59,33,38.67,4.105,0.947,47.081,3.38,40.04,0.13,48.97,0.01,1.45,0.32,3.55,5.44,0.06,0.03,25.33,1.94,26.41,0,8.45,0,18.16,20,6.5,0,19.91,3.32,0,25.64,44.64,10.07,0,19.6,5.31,0,2.74,62.28,43.58,0,11.78,16.33,0,0,28.3,73.95,0,17.62,0,0,8.42,1482.73,7779.76,17994.3,34.4,0,0.835714286,0.484444444,13.3,32.5,283.392,2153.088,8994.24,15158.016,15
ds3,Feb,1,15.13,25-02-14,1,7,0.03,0.01,0.09,0.2,0.018,0.01,20,2,49,21.737,0.050333333,8.35,7.2,6.82,9,0.29,6.5,34,2.377,0.282,46.51,0.52,39.46,0.13,49.39,0.01,1.5,0.31,3.48,5.64,0.06,0.03,57.82,0,8.95,0,4.64,0,1.24,27,63.04,0,15.21,2.5,0,0,19.25,74.64,0,16.91,4.1,0,0,4.35,87.26,0,0,12.74,0,0,0,86.13,0,13.87,0,0,0,2682.29,8668.45,17429.29,34.4,0,0.835714286,0.484444444,13.3,32.5,283.392,2153.088,8994.24,15158.016,15
ds4,Feb,1,21.23,25-02-14,1,8,0.02,0.01,0.1,0.2,0.017,0.01,19,2,50,21.577,0.051,8.003,7.3,6.98,9.17,0.22,22.67,42.33,2.267,1.502,35.21,6.5,40.56,0.12,48.22,0.01,1.53,0.3,3.48,5.69,0.06,0.02,67.44,0,9.62,0,0.92,0,7.26,15,15.94,0,13.93,3.44,0,20.37,46.32,0,0,15.61,8.12,0,32.48,43.79,0,0,13.05,16.15,0,67.44,3.36,0,0,0,0,100,0,2188.26,4739.86,12506.73,34.4,0,0.835714286,0.484444444,13.3,32.5,283.392,2153.088,8994.24,15158.016,15
up1,May,92,0,28-05-14,2,1,0.17,0.01,0.099,2.1,0.38,0.01,12,5,27,11.49,0.028,8.94,7,7.73,78.07,0.56,26.67,20.33,7.415,7.833,27.824,31.36,32.31,0.01,52.75,0.02,1.37,1.11,3.34,9.09,0,0,37.04,0,10.26,0,2.04,7.07,7.29,36,14.63,0,7.42,0,14.73,0,63.23,11.62,0,6.58,0,35.61,0,46.18,10.7,0,0,0,89.3,0,0,4.7,0,0,95.3,0,0,39.52,2125.95,6330.91,14.5,35.4,2.767741935,1.043478261,3.5,66.2,3123.36,5624.64,15837.12,9602.496,3.7
up2,May,92,8.7,28-05-14,2,2,0.2,0.01,0.099,0.9,0.1,0.01,11,7,35,12.04,0.026,8.85,7,7.59,92.27,0.07,54.67,30,5.377,3.171,66.513,0,39.49,0.16,49.28,0.01,1.6,0.41,3.47,5.56,0.03,0.03,13.32,5,19,1,10,0,9.72,42,1.25,5.72,28,12.28,0,5.95,46.8,0,9.05,23.1,24.73,0,2.73,40.39,0,0,5.9,63.53,0,0,30.57,0,0,52,0,0,48.34,1003.3,5593.24,12704.91,14.5,35.4,2.767741935,1.043478261,3.5,66.2,3123.36,5624.64,15837.12,9602.496,3.7
up3,May,92,10.4,28-05-14,2,3,0.13,0.01,0.099,0.8,0.13,0.01,12,5,34,12.22,0.035,8.72,7,7.53,89.9,0.32,35.67,56.33,8.503,2.198,45,4.2,40.11,0.13,48.98,0.01,1.44,0.32,3.52,5.4,0.06,0.03,35.25,1.85,20.85,0,5.61,0,10.45,26,55.98,7.78,23.81,2.2,0,7.3,2.94,34.31,20.16,38.26,0.53,0,6.74,0,0,68.11,0.35,0,0,31.53,0,0,42.8,0,0,57.2,0,1935.16,6899.55,18964.43,14.5,35.4,2.767741935,1.043478261,3.5,66.2,5465.664,9713.088,31000.32,19620.576,3.7
up4,May,92,10.77,28-05-14,2,4,0.13,0.01,0.099,0.6,0.07,0.01,12,6,34,12.31,0.034,8.49,6.9,7.48,72.53,0.12,41.67,52,4.204,2.011,24.645,6.36,40.06,0.13,48.98,0.01,1.45,0.32,3.55,5.41,0.06,0.03,35.23,1.9,26.8,0,6.29,0,14.62,15,30.29,8.07,30.38,2.75,0,27.02,1.49,0,15.5,31.5,0.81,0,52.18,0,0,0,0.05,0,0,99.95,0,0,0,0,0,100,0,2095.76,6407.58,12072.82,14.5,35.4,2.767741935,1.043478261,3.5,66.2,5465.664,9713.088,31000.32,19620.576,3.7
ds1,May,92,11.03,28-05-14,2,5,0.13,0.01,0.099,0.6,0.12,0.01,12,6,33,12.28,0.034,8.61,7,7.87,91,0.48,33,56.33,13.597,6.09,51.9,0,40.05,0.13,48.97,0.01,1.45,0.32,3.55,5.43,0.06,0.03,28.48,1.94,30.35,0,7.8,0,15.98,15,9.25,8.07,30.59,4.4,0,36.26,11.42,0,0,25.11,0,0,54.8,20.09,0,0,0,0,0,8.33,91.67,0,0,0,0,0,100,1443.84,4685.49,7313.79,14.5,35.4,2.767741935,1.043478261,3.5,66.2,5465.664,9713.088,31000.32,19620.576,3.7
ds2,May,92,11.53,28-05-14,2,6,0.13,0.01,0.099,0.8,0.19,0.01,11,6,33,12.27,0.033,8.75,7,7.31,112,0.13,37.33,32.67,6.046,2.737,61.75,7.88,40.04,0.13,48.97,0.01,1.45,0.32,3.55,5.44,0.06,0.03,25.33,1.94,26.41,0,8.45,0,18.16,20,6.5,0,19.91,3.32,0,25.64,44.64,10.07,0,19.6,5.31,0,2.74,62.28,43.58,0,11.78,16.33,0,0,28.3,73.95,0,17.62,0,0,8.42,1482.73,7779.76,17994.3,14.5,35.4,2.767741935,1.043478261,3.5,66.2,5465.664,9713.088,31000.32,19620.576,3.7
ds3,May,92,15.13,28-05-14,2,7,0.25,0.01,0.099,1.2,0.21,0.01,11,6,31,12.36,0.032,8.7,7,7.13,139,0.59,23.67,48.33,11.084,1.599,54.85,0,39.46,0.13,49.39,0.01,1.5,0.31,3.48,5.64,0.06,0.03,57.82,0,8.95,0,4.64,0,1.24,27,63.04,0,15.21,2.5,0,0,19.25,74.64,0,16.91,4.1,0,0,4.35,87.26,0,0,12.74,0,0,0,86.13,0,13.87,0,0,0,2682.29,8668.45,17429.29,14.5,35.4,2.767741935,1.043478261,3.5,66.2,5465.664,9713.088,31000.32,19620.576,3.7
ds4,May,92,21.23,28-05-14,2,8,0.13,0.01,0.099,1,0.16,0.01,11,6,31,12.56,0.031,8.53,6.9,7.25,139,0.1,68,47.67,8.049,2.606,50.73,18.8,40.56,0.12,48.22,0.01,1.53,0.3,3.48,5.69,0.06,0.02,67.44,0,9.62,0,0.92,0,7.26,15,15.94,0,13.93,3.44,0,20.37,46.32,0,0,15.61,8.12,0,32.48,43.79,0,0,13.05,16.15,0,67.44,3.36,0,0,0,0,100,0,2188.26,4739.86,12506.73,14.5,35.4,2.767741935,1.043478261,3.5,66.2,5465.664,9713.088,31000.32,19620.576,3.7
up1,Sep,210,0,22-09-14,3,1,0.08,0.01,0.1,0.3,0.05,0.01,14,1,35,11.1,0.035,10.93,7.2,7.63,14.23,0.47,64.17,19.67,0.523,12.96,37.185,17.84,32.31,0.01,52.75,0.02,1.37,1.11,3.34,9.09,0,0,37.04,0,10.26,0,2.04,7.07,7.29,36,14.63,0,7.42,0,14.73,0,63.23,11.62,0,6.58,0,35.61,0,46.18,10.7,0,0,0,89.3,0,0,4.7,0,0,95.3,0,0,39.52,2125.95,6330.91,22.2,0,2.446666667,0.952898551,27.8,82.2,889.056,7094.304,31285.44,65606.976,20.7
up2,Sep,210,8.7,22-09-14,3,2,0.09,0.01,0.1,0.2,0.05,0.01,16,2,42,12.37,0.041,11.04,7.6,7.63,13.37,0.83,47,25.33,0.797,0.575,69.124,0,39.49,0.16,49.28,0.01,1.6,0.41,3.47,5.56,0.03,0.03,13.32,5,19,1,10,0,9.72,42,1.25,5.72,28,12.28,0,5.95,46.8,0,9.05,23.1,24.73,0,2.73,40.39,0,0,5.9,63.53,0,0,30.57,0,0,52,0,0,48.34,1003.3,5593.24,12704.91,22.2,0,2.446666667,0.952898551,27.8,82.2,889.056,7094.304,31285.44,65606.976,20.7
up3,Sep,210,10.4,22-09-14,3,3,0.1,0.01,0.11,0.3,0.05,0.01,14,2,38,11.79,0.038,11.14,7.2,7.71,12.7,0.53,42.67,30.33,0.896,1.455,51.564,9.7,40.11,0.13,48.98,0.01,1.44,0.32,3.52,5.4,0.06,0.03,35.25,1.85,20.85,0,5.61,0,10.45,26,55.98,7.78,23.81,2.2,0,7.3,2.94,34.31,20.16,38.26,0.53,0,6.74,0,0,68.11,0.35,0,0,31.53,0,0,42.8,0,0,57.2,0,1935.16,6899.55,18964.43,22.2,0,2.446666667,0.952898551,27.8,82.2,1710.72,13952.736,62622.72,144767.52,20.7
up4,Sep,210,10.77,22-09-14,3,4,0.09,0.01,0.1,0.3,0.05,0.01,14,2,38,11.87,0.038,11.19,7.2,7.89,10.53,0.21,50.33,57.33,2.139,2.924,45.9,3.16,40.06,0.13,48.98,0.01,1.45,0.32,3.55,5.41,0.06,0.03,35.23,1.9,26.8,0,6.29,0,14.62,15,30.29,8.07,30.38,2.75,0,27.02,1.49,0,15.5,31.5,0.81,0,52.18,0,0,0,0.05,0,0,99.95,0,0,0,0,0,100,0,2095.76,6407.58,12072.82,22.2,0,2.446666667,0.952898551,27.8,82.2,1710.72,13952.736,62622.72,144767.52,20.7
ds1,Sep,210,11.03,22-09-14,3,5,0.1,0.01,0.11,0.3,0.05,0.01,14,2,38,11.69,0.038,11.15,7.3,8.63,15.57,0.6,34.83,39,0.927,1.227,59.948,0,40.05,0.13,48.97,0.01,1.45,0.32,3.55,5.43,0.06,0.03,28.48,1.94,30.35,0,7.8,0,15.98,15,9.25,8.07,30.59,4.4,0,36.26,11.42,0,0,25.11,0,0,54.8,20.09,0,0,0,0,0,8.33,91.67,0,0,0,0,0,100,1443.84,4685.49,7313.79,22.2,0,2.446666667,0.952898551,27.8,82.2,1710.72,13952.736,62622.72,144767.52,20.7
ds2,Sep,210,11.53,22-09-14,3,6,0.1,0.01,0.11,0.3,0.07,0.01,14,2,38,11.49,0.038,11.05,7.2,7.78,7.57,0.15,64.17,48.33,0.784,12.791,59.207,1.34,40.04,0.13,48.97,0.01,1.45,0.32,3.55,5.44,0.06,0.03,25.33,1.94,26.41,0,8.45,0,18.16,20,6.5,0,19.91,3.32,0,25.64,44.64,10.07,0,19.6,5.31,0,2.74,62.28,43.58,0,11.78,16.33,0,0,28.3,73.95,0,17.62,0,0,8.42,1482.73,7779.76,17994.3,22.2,0,2.446666667,0.952898551,27.8,82.2,1710.72,13952.736,62622.72,144767.52,20.7
ds3,Sep,210,15.13,22-09-14,3,7,0.09,0.01,0.1,0.3,0.05,0.01,14,2,38,11.44,0.038,10.94,7.2,7.52,2.83,1.03,32.83,67.67,0.896,3.126,51.991,0,39.46,0.13,49.39,0.01,1.5,0.31,3.48,5.64,0.06,0.03,57.82,0,8.95,0,4.64,0,1.24,27,63.04,0,15.21,2.5,0,0,19.25,74.64,0,16.91,4.1,0,0,4.35,87.26,0,0,12.74,0,0,0,86.13,0,13.87,0,0,0,2682.29,8668.45,17429.29,22.2,0,2.446666667,0.952898551,27.8,82.2,1710.72,13952.736,62622.72,144767.52,20.7
ds4,Sep,210,21.23,22-09-14,3,8,1.1,0.01,0.1,1.3,0.05,0.01,14,2,39,11.35,0.039,10.52,7.2,7.42,8.37,0.27,38.33,44.67,0.55,1.004,56.696,33.18,40.56,0.12,48.22,0.01,1.53,0.3,3.48,5.69,0.06,0.02,67.44,0,9.62,0,0.92,0,7.26,15,15.94,0,13.93,3.44,0,20.37,46.32,0,0,15.61,8.12,0,32.48,43.79,0,0,13.05,16.15,0,67.44,3.36,0,0,0,0,100,0,2188.26,4739.86,12506.73,22.2,0,2.446666667,0.952898551,27.8,82.2,1710.72,13952.736,62622.72,144767.52,20.7
up1,Dec,283,0,04-12-14,4,1,0.07,0.01,0.1,0.1,0.05,0.01,17,1,39,20.53,0.04,8.133,7.3,7.64,6.83,0.38,37.83,20.33,1.495,15.13,33.825,16.135,32.31,0.01,52.75,0.02,1.37,1.11,3.34,9.09,0,0,37.04,0,10.26,0,2.04,7.07,7.29,36,14.63,0,7.42,0,14.73,0,63.23,11.62,0,6.58,0,35.61,0,46.18,10.7,0,0,0,89.3,0,0,4.7,0,0,95.3,0,0,39.52,2125.95,6330.91,31.8,16.2,1.929032258,0.581884058,0,9.3,304.0416,1971.0432,8138.88,12229.92,21.3
up2,Dec,283,8.7,04-12-14,4,2,0.1,0.01,0.1,0.2,0.05,0.01,19,1.6,51,21.02,0.052,8.58,7.3,7.43,19.57,0.66,22.33,27.33,2.44,8.911,51.351,2.175,39.49,0.16,49.28,0.01,1.6,0.41,3.47,5.56,0.03,0.03,13.32,5,19,1,10,0,9.72,42,1.25,5.72,28,12.28,0,5.95,46.8,0,9.05,23.1,24.73,0,2.73,40.39,0,0,5.9,63.53,0,0,30.57,0,0,52,0,0,48.34,1003.3,5593.24,12704.91,31.8,16.2,1.929032258,0.581884058,0,9.3,304.0416,1971.0432,8138.88,12229.92,21.3
up3,Dec,283,10.4,04-12-14,4,3,0.09,0.01,0.1,0.2,0.05,0.01,17,1.2,47,20.66,0.047333333,7.923,7.1,7.55,8.37,0.29,45.67,23.33,1.681,1.563,48.871,6.66,40.11,0.13,48.98,0.01,1.44,0.32,3.52,5.4,0.06,0.03,35.25,1.85,20.85,0,5.61,0,10.45,26,55.98,7.78,23.81,2.2,0,7.3,2.94,34.31,20.16,38.26,0.53,0,6.74,0,0,68.11,0.35,0,0,31.53,0,0,42.8,0,0,57.2,0,1935.16,6899.55,18964.43,31.8,16.2,1.929032258,0.581884058,0,9.3,571.968,3525.984,14696.64,21053.088,21.3
up4,Dec,283,10.77,04-12-14,4,4,2,0.01,0.1,2,0.05,0.01,18,1.2,49,20.66,0.048666667,7.983,7.1,7.5,7.17,0.71,28.33,35.67,1.753,1.862,60.092,6.633,40.06,0.13,48.98,0.01,1.45,0.32,3.55,5.41,0.06,0.03,35.23,1.9,26.8,0,6.29,0,14.62,15,30.29,8.07,30.38,2.75,0,27.02,1.49,0,15.5,31.5,0.81,0,52.18,0,0,0,0.05,0,0,99.95,0,0,0,0,0,100,0,2095.76,6407.58,12072.82,31.8,16.2,1.929032258,0.581884058,0,9.3,571.968,3525.984,14696.64,21053.088,21.3
ds1,Dec,283,11.03,04-12-14,4,5,0.1,0.01,0.1,0.3,0.05,0.01,18,1.3,49,20.55,0.049,8.063,7.1,7.81,13.1,0.74,37.5,26.67,1.691,15.964,47.081,2.888,40.05,0.13,48.97,0.01,1.45,0.32,3.55,5.43,0.06,0.03,28.48,1.94,30.35,0,7.8,0,15.98,15,9.25,8.07,30.59,4.4,0,36.26,11.42,0,0,25.11,0,0,54.8,20.09,0,0,0,0,0,8.33,91.67,0,0,0,0,0,100,1443.84,4685.49,7313.79,31.8,16.2,1.929032258,0.581884058,0,9.3,571.968,3525.984,14696.64,21053.088,21.3
ds2,Dec,283,11.53,04-12-14,4,6,1.1,0.01,0.1,1.1,0.05,0.01,17,1.2,49,20.45,0.048333333,7.863,7.1,7.59,9.57,0.54,36.67,46.33,1.476,4.047,50.736,6.033,40.04,0.13,48.97,0.01,1.45,0.32,3.55,5.44,0.06,0.03,25.33,1.94,26.41,0,8.45,0,18.16,20,6.5,0,19.91,3.32,0,25.64,44.64,10.07,0,19.6,5.31,0,2.74,62.28,43.58,0,11.78,16.33,0,0,28.3,73.95,0,17.62,0,0,8.42,1482.73,7779.76,17994.3,31.8,16.2,1.929032258,0.581884058,0,9.3,571.968,3525.984,14696.64,21053.088,21.3
ds3,Dec,283,15.13,04-12-14,4,7,0.12,0.01,0.1,0.3,0.05,0.01,17,1.1,47,20.69,0.047,8.04,7.1,7.62,18.2,0.52,26.67,65,2.219,1.57,53.514,3.913,39.46,0.13,49.39,0.01,1.5,0.31,3.48,5.64,0.06,0.03,57.82,0,8.95,0,4.64,0,1.24,27,63.04,0,15.21,2.5,0,0,19.25,74.64,0,16.91,4.1,0,0,4.35,87.26,0,0,12.74,0,0,0,86.13,0,13.87,0,0,0,2682.29,8668.45,17429.29,31.8,16.2,1.929032258,0.581884058,0,9.3,571.968,3525.984,14696.64,21053.088,21.3
ds4,Dec,283,21.23,04-12-14,4,8,0.1,0.01,0.1,0.1,0.05,0.01,18,1,48,20.91,0.047,7.983,7.2,7.51,6.77,0.46,43.17,47,0.908,1.688,50.855,19.928,40.56,0.12,48.22,0.01,1.53,0.3,3.48,5.69,0.06,0.02,67.44,0,9.62,0,0.92,0,7.26,15,15.94,0,13.93,3.44,0,20.37,46.32,0,0,15.61,8.12,0,32.48,43.79,0,0,13.05,16.15,0,67.44,3.36,0,0,0,0,100,0,2188.26,4739.86,12506.73,31.8,16.2,1.929032258,0.581884058,0,9.3,571.968,3525.984,14696.64,21053.088,21.3
